gene_id	CHROM	POS	STRAND	gene_name	gene_locus	reg_locus	promoter
ENSG00000186092	chr1	69090	+	OR4F5	chr1:69091-70008	chr1:1-362639	chr1:64090-70089
ENSG00000235249	chr1	367639	+	OR4F29	chr1:367640-368634	chr1:70089-621054	chr1:362639-368638
ENSG00000185097	chr1	622053	-	OR4F16	chr1:621059-622053	chr1:368638-856117	chr1:621054-627053
ENSG00000187634	chr1	861117	+	SAMD11	chr1:860260-879955	chr1:627053-890966	chr1:856117-862116
ENSG00000187961	chr1	895966	+	KLHL17	chr1:895967-901095	chr1:862116-896965	chr1:890966-896965
ENSG00000188976	chr1	894670	-	NOC2L	chr1:879584-894689	chr1:893671-899670	chr1:893671-899670
ENSG00000187583	chr1	901876	+	PLEKHN1	chr1:901877-911245	chr1:896876-916498	chr1:896876-902875
ENSG00000187642	chr1	917497	-	C1orf170	chr1:910579-917497	chr1:902875-934553	chr1:916498-922497
ENSG00000188290	chr1	935552	-	HES4	chr1:934342-935552	chr1:922497-943802	chr1:934553-940552
ENSG00000187608	chr1	948802	+	ISG15	chr1:948803-949920	chr1:940552-950502	chr1:943802-949801
ENSG00000188157	chr1	955502	+	AGRN	chr1:955503-991496	chr1:949801-1008688	chr1:950502-956501
ENSG00000237330	chr1	1009687	-	RNF223	chr1:1006346-1009687	chr1:956501-1050479	chr1:1008688-1014687
ENSG00000131591	chr1	1051478	-	C1orf159	chr1:1017198-1051741	chr1:1014687-1104282	chr1:1050479-1056478
ENSG00000162571	chr1	1109282	+	TTLL10	chr1:1109264-1133315	chr1:1056478-1140952	chr1:1104282-1110281
ENSG00000186891	chr1	1141951	-	TNFRSF18	chr1:1138888-1142071	chr1:1110281-1148513	chr1:1140952-1146951
ENSG00000186827	chr1	1149512	-	TNFRSF4	chr1:1146706-1149518	chr1:1146951-1162628	chr1:1148513-1154512
ENSG00000176022	chr1	1167628	+	B3GALT6	chr1:1167629-1170421	chr1:1154512-1168627	chr1:1162628-1168627
ENSG00000078808	chr1	1167381	-	SDF4	chr1:1152288-1167411	chr1:1166382-1181103	chr1:1166382-1172381
ENSG00000184163	chr1	1182102	-	FAM132A	chr1:1177826-1182102	chr1:1172381-1208214	chr1:1181103-1187102
ENSG00000160087	chr1	1209213	-	UBE2J2	chr1:1189289-1209265	chr1:1187102-1214213	chr1:1208214-1214213
ENSG00000162572	chr1	1215815	+	SCNN1D	chr1:1215816-1227409	chr1:1210815-1238946	chr1:1210815-1216814
ENSG00000169972	chr1	1243946	+	PUSL1	chr1:1243947-1247057	chr1:1216814-1244945	chr1:1238946-1244945
ENSG00000131584	chr1	1243398	-	ACAP3	chr1:1227756-1244989	chr1:1242399-1255146	chr1:1242399-1248398
ENSG00000224051	chr1	1260146	+	GLTPD1	chr1:1260136-1264277	chr1:1248398-1261145	chr1:1255146-1261145
ENSG00000127054	chr1	1259989	-	CPSF3L	chr1:1246965-1260071	chr1:1258990-1264989	chr1:1258990-1264989
ENSG00000169962	chr1	1266693	+	TAS1R3	chr1:1266694-1270686	chr1:1261693-1283493	chr1:1261693-1267692
ENSG00000107404	chr1	1284492	-	DVL1	chr1:1270656-1284730	chr1:1267692-1292916	chr1:1283493-1289492
ENSG00000162576	chr1	1293915	-	MXRA8	chr1:1288069-1297157	chr1:1289492-1309538	chr1:1292916-1298915
ENSG00000175756	chr1	1310537	-	AURKAIP1	chr1:1309110-1310875	chr1:1298915-1333693	chr1:1309538-1315537
ENSG00000221978	chr1	1334692	-	CCNL2	chr1:1321091-1334708	chr1:1315537-1341694	chr1:1333693-1339692
ENSG00000242485	chr1	1342693	-	MRPL20	chr1:1337288-1342693	chr1:1339692-1356507	chr1:1341694-1347693
ENSG00000205116	chr1	1361507	+	TMEM88B	chr1:1361508-1363167	chr1:1347693-1366050	chr1:1356507-1362506
ENSG00000179403	chr1	1371050	+	VWA1	chr1:1370241-1378262	chr1:1362506-1380068	chr1:1366050-1372049
ENSG00000215915	chr1	1385068	+	ATAD3C	chr1:1385069-1405538	chr1:1372049-1402148	chr1:1380068-1386067
ENSG00000160072	chr1	1407148	+	ATAD3B	chr1:1407143-1433228	chr1:1386067-1442554	chr1:1402148-1408147
