gene_id	CHROM	POS	STRAND	gene_name	interval
ENSG00000186092	chr1	69090	+	OR4F5	chr1:69091-70008
ENSG00000235249	chr1	367639	+	OR4F29	chr1:367640-368634
ENSG00000185097	chr1	622053	-	OR4F16	chr1:621059-622053
ENSG00000187634	chr1	861117	+	SAMD11	chr1:860260-879955
ENSG00000188976	chr1	894670	-	NOC2L	chr1:879584-894689
ENSG00000187961	chr1	895966	+	KLHL17	chr1:895967-901095
ENSG00000187583	chr1	901876	+	PLEKHN1	chr1:901877-911245
ENSG00000187642	chr1	917497	-	C1orf170	chr1:910579-917497
ENSG00000188290	chr1	935552	-	HES4	chr1:934342-935552
ENSG00000187608	chr1	948802	+	ISG15	chr1:948803-949920
ENSG00000188157	chr1	955502	+	AGRN	chr1:955503-991496
ENSG00000237330	chr1	1009687	-	RNF223	chr1:1006346-1009687
ENSG00000131591	chr1	1051478	-	C1orf159	chr1:1017198-1051741
ENSG00000162571	chr1	1109282	+	TTLL10	chr1:1109264-1133315
ENSG00000186891	chr1	1141951	-	TNFRSF18	chr1:1138888-1142071
ENSG00000186827	chr1	1149512	-	TNFRSF4	chr1:1146706-1149518
ENSG00000078808	chr1	1167381	-	SDF4	chr1:1152288-1167411
ENSG00000176022	chr1	1167628	+	B3GALT6	chr1:1167629-1170421
ENSG00000184163	chr1	1182102	-	FAM132A	chr1:1177826-1182102
ENSG00000160087	chr1	1209213	-	UBE2J2	chr1:1189289-1209265
ENSG00000162572	chr1	1215815	+	SCNN1D	chr1:1215816-1227409
ENSG00000131584	chr1	1243398	-	ACAP3	chr1:1227756-1244989
ENSG00000169972	chr1	1243946	+	PUSL1	chr1:1243947-1247057
ENSG00000127054	chr1	1259989	-	CPSF3L	chr1:1246965-1260071
ENSG00000224051	chr1	1260146	+	GLTPD1	chr1:1260136-1264277
ENSG00000169962	chr1	1266693	+	TAS1R3	chr1:1266694-1270686
ENSG00000107404	chr1	1284492	-	DVL1	chr1:1270656-1284730
ENSG00000162576	chr1	1293915	-	MXRA8	chr1:1288069-1297157
ENSG00000175756	chr1	1310537	-	AURKAIP1	chr1:1309110-1310875
ENSG00000221978	chr1	1334692	-	CCNL2	chr1:1321091-1334708
